nome,latitude,longitude,sigla
Utirik Airport,11.222219,169.851429,UTK
Ocean Reef Club Airport,25.325399398804,-80.274803161621,OCA
Cuddihy Field,27.7211,-97.512802,CUX
Crested Butte Airpark,38.851918,-106.928341,CSE
Columbus Airport,31.823898,-107.629924,CUS
LBJ Ranch Airport,30.251801,-98.622498,JCY
Loring Seaplane Base,55.601299,-131.636993,WLR
Nunapitchuk Airport,60.905591,-162.440454,NUP
Port Alice Seaplane Base,55.803,-133.597,PTC
Icy Bay Airport,59.966269,-141.660118,ICY
Port Protection Seaplane Base,56.328800201416,-133.61000061035,PPV
Kalakaket Creek AS Airport,64.4166256967,-156.820392609,KKK
Dunsmuir Muni-Mott Airport,41.263199,-122.272003,MHS
Chase Field Industrial Airport,28.362444,-97.661917,NIR
Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,GCT
Ellamar Seaplane Base,60.893818,-146.704038,ELW
Lime Village Airport,61.3591003418,-155.440002441,LVD
Hog River Airport,66.176133,-155.684816,HGZ
Ed-Air Airport,38.851782,-87.49987,OTN
Telida Airport,63.393901824951,-153.26899719238,TLF
Eagle Air Park,28.982200622559,-95.579696655273,BZT
Entrance Island Seaplane Base,57.412201,-133.43848,HBH
False Island Seaplane Base,57.5321998596,-135.212997437,FAK
Blakely Island Airport,48.579162,-122.823844,BYW
Drift River Airport,60.5889015198,-152.162002563,DRF
Rinkenberger Restricted Landing Area,41.2308998108,-89.61569976810001,BDF
Tetlin Airport,63.124618,-142.518005,TEH
Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,VRS
Golden Horn Lodge Seaplane Base,59.7470016479,-158.875,GDH
Atmautluak Airport,60.866699,-162.272996,ATT
Livengood Camp Airport,65.467,-148.6534,LIV
Pedro Bay Airport,59.796925,-154.129994,PDB
Ouzinkie Airport,57.942094,-152.464314,KOZ
Tununak Airport,60.569638,-165.246649,TNK
Hyder Seaplane Base,55.903324,-130.009975,WHD
Minto Al Wright Airport,65.147991,-149.368658,MNT
