sgPartido,URL_Partido
UNIÃO,https://commons.wikimedia.org/wiki/Special:FilePath/Uni%C3%A3o_Brasil_logo.svg
PP,https://commons.wikimedia.org/wiki/Special:FilePath/Progressistas_logotipo_%28cortado%29.png
PV,https://commons.wikimedia.org/wiki/Special:FilePath/PV_Logo.svg
PSB,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Logo_of_the_Brazilian_Socialist_Party.svg/250px-Logo_of_the_Brazilian_Socialist_Party.svg.png
PT,https://commons.wikimedia.org/wiki/Special:FilePath/PT_%28Brazil%29_logo_2021.svg
REPUBLICANOS,https://images.seeklogo.com/logo-png/38/2/republicanos-10-logo-png_seeklogo-386777.png
PDT,https://commons.wikimedia.org/wiki/Special:FilePath/Logomarca_do_Partido_Democr%C3%A1tico_Trabalhista%2C_do_Brasil.png
PSOL,https://commons.wikimedia.org/wiki/Special:FilePath/Logo_PSOL_roxo.svg
PL,https://commons.wikimedia.org/wiki/Special:FilePath/Partido_Liberal_(Brazil)_logo.svg
MDB,https://commons.wikimedia.org/wiki/Special:FilePath/Movimento_Democr%C3%A1tico_Brasileiro_%282017%29.png
PODE,https://commons.wikimedia.org/wiki/Special:FilePath/Logo-podemos.png
PCdoB,https://commons.wikimedia.org/wiki/Special:FilePath/PCdoB_%28comprimido%29.png
PSD,https://commons.wikimedia.org/wiki/Special:FilePath/PSD_Brazil_logo.svg
PSDB,https://commons.wikimedia.org/wiki/Special:FilePath/Logo_of_the_Brazilian_Social_Democracy_Party_(2023).svg
AVANTE,https://commons.wikimedia.org/wiki/Special:FilePath/AVANTE_Brazil_Logo.png
CIDADANIA,https://commons.wikimedia.org/wiki/Special:FilePath/Logomarca_Partido_Cidadania.png
SOLIDARIEDADE,https://commons.wikimedia.org/wiki/Special:FilePath/Logomarca_do_Partido_Solidariedade.png
NOVO,https://commons.wikimedia.org/wiki/Special:FilePath/NOVO_Logo_2023.png
REDE,https://commons.wikimedia.org/wiki/Special:FilePath/Logomarca_da_Rede_Sustentabilidade_%28REDE%29%2C_do_Brasil_%28cropped%29.png
PRD,https://commons.wikimedia.org/wiki/Special:FilePath/Logomarca_Partido_Renova%C3%A7%C3%A3o_Democr%C3%A1tica.png
MOBILIZA,https://commons.wikimedia.org/wiki/Special:FilePath/Logomarca_Partido_Mobiliza.png
AGIR,https://commons.wikimedia.org/wiki/Special:FilePath/Logomarca_do_Partido_Agir.png
PRTB,https://upload.wikimedia.org/wikipedia/pt/thumb/f/f8/Prtb.jpg/120px-Prtb.jpg
PMB,https://upload.wikimedia.org/wikipedia/pt/thumb/a/ac/Pmb_logo_site-300x104.png/120px-Pmb_logo_site-300x104.png
PSTU,https://commons.wikimedia.org/wiki/Special:FilePath/Logo_PSTU.png
PCB,https://commons.wikimedia.org/wiki/Special:FilePath/PCB_logo.svg
UP,https://upload.wikimedia.org/wikipedia/pt/thumb/0/00/Logo_-_UP_site.png/120px-Logo_-_UP_site.png
PCO,https://commons.wikimedia.org/wiki/Special:FilePath/IMG3498Pco.png
S.PART,https://www.imagensempng.com.br/wp-content/uploads/2021/06/04-12.png
MISSÃO,https://commons.wikimedia.org/wiki/Special:FilePath/Logo_Partido_Miss%C3%A3o.jpg
